country,continent,year,lifeExp,pop,gdpPercap
Afghanistan,Asia,1952,28.801,8425333.0,779.4453145
Afghanistan,Asia,1957,30.331999999999997,9240934.0,820.8530296
Afghanistan,Asia,1962,31.997,10267083.0,853.1007099999999
Afghanistan,Asia,1967,34.02,11537966.0,836.1971382
Afghanistan,Asia,1972,36.088,13079460.0,739.9811057999999
Afghanistan,Asia,1977,38.438,14880372.0,786.11336
Afghanistan,Asia,1982,39.854,12881816.0,978.0114388000001
Afghanistan,Asia,1987,40.821999999999996,13867957.0,852.3959447999999
Afghanistan,Asia,1992,41.674,16317921.0,649.3413952000001
Afghanistan,Asia,1997,41.763000000000005,22227415.0,635.341351
Afghanistan,Asia,2002,42.129,25268405.0,726.7340548
Afghanistan,Asia,2007,43.828,31889923.0,974.5803384
Albania,Europe,1952,55.23,1282697.0,1601.056136
Albania,Europe,1957,59.28,1476505.0,1942.2842440000002
Albania,Europe,1962,64.82,1728137.0,2312.888958
Albania,Europe,1967,66.22,1984060.0,2760.196931
Albania,Europe,1972,67.69,2263554.0,3313.422188
Albania,Europe,1977,68.93,2509048.0,3533.0039100000004
Albania,Europe,1982,70.42,2780097.0,3630.880722
Albania,Europe,1987,72.0,3075321.0,3738.9327350000003
Albania,Europe,1992,71.581,3326498.0,2497.4379010000002
Albania,Europe,1997,72.95,3428038.0,3193.054604
Albania,Europe,2002,75.65100000000001,3508512.0,4604.211737
Albania,Europe,2007,76.423,3600523.0,5937.029525999999
Algeria,Africa,1952,43.077,9279525.0,2449.008185
Algeria,Africa,1957,45.685,10270856.0,3013.976023
Algeria,Africa,1962,48.303000000000004,11000948.0,2550.81688
Algeria,Africa,1967,51.407,12760499.0,3246.991771
Algeria,Africa,1972,54.518,14760787.0,4182.663766
Algeria,Africa,1977,58.013999999999996,17152804.0,4910.4167560000005
Algeria,Africa,1982,61.368,20033753.0,5745.160213
Algeria,Africa,1987,65.79899999999999,23254956.0,5681.358539
Algeria,Africa,1992,67.744,26298373.0,5023.216647
Algeria,Africa,1997,69.152,29072015.0,4797.295051
Algeria,Africa,2002,70.994,31287142.0,5288.040382
Algeria,Africa,2007,72.301,33333216.0,6223.367465
Angola,Africa,1952,30.015,4232095.0,3520.610273
Angola,Africa,1957,31.999000000000002,4561361.0,3827.9404649999997
Angola,Africa,1962,34.0,4826015.0,4269.276742
Angola,Africa,1967,35.985,5247469.0,5522.776375
Angola,Africa,1972,37.928000000000004,5894858.0,5473.288004999999
Angola,Africa,1977,39.483000000000004,6162675.0,3008.647355
Angola,Africa,1982,39.942,7016384.0,2756.953672
Angola,Africa,1987,39.906,7874230.0,2430.208311
Angola,Africa,1992,40.647,8735988.0,2627.8456850000002
Angola,Africa,1997,40.963,9875024.0,2277.140884
Angola,Africa,2002,41.003,10866106.0,2773.287312
Angola,Africa,2007,42.731,12420476.0,4797.231267
Argentina,Americas,1952,62.485,17876956.0,5911.315053
Argentina,Americas,1957,64.399,19610538.0,6856.856212000001
Argentina,Americas,1962,65.142,21283783.0,7133.166023000001
Argentina,Americas,1967,65.634,22934225.0,8052.953020999999
Argentina,Americas,1972,67.065,24779799.0,9443.038526
Argentina,Americas,1977,68.48100000000001,26983828.0,10079.026740000001
Argentina,Americas,1982,69.942,29341374.0,8997.897412
Argentina,Americas,1987,70.774,31620918.0,9139.671389
Argentina,Americas,1992,71.868,33958947.0,9308.41871
Argentina,Americas,1997,73.275,36203463.0,10967.28195
Argentina,Americas,2002,74.34,38331121.0,8797.640716
Argentina,Americas,2007,75.32,40301927.0,12779.379640000001
Australia,Oceania,1952,69.12,8691212.0,10039.595640000001
Australia,Oceania,1957,70.33,9712569.0,10949.64959
Australia,Oceania,1962,70.93,10794968.0,12217.226859999999
Australia,Oceania,1967,71.1,11872264.0,14526.12465
Australia,Oceania,1972,71.93,13177000.0,16788.62948
Australia,Oceania,1977,73.49,14074100.0,18334.197509999998
Australia,Oceania,1982,74.74,15184200.0,19477.009280000002
Australia,Oceania,1987,76.32,16257249.0,21888.889030000002
Australia,Oceania,1992,77.56,17481977.0,23424.76683
Australia,Oceania,1997,78.83,18565243.0,26997.936569999998
Australia,Oceania,2002,80.37,19546792.0,30687.75473
Australia,Oceania,2007,81.235,20434176.0,34435.367439999995
Austria,Europe,1952,66.8,6927772.0,6137.076492
Austria,Europe,1957,67.48,6965860.0,8842.59803
Austria,Europe,1962,69.54,7129864.0,10750.721109999999
Austria,Europe,1967,70.14,7376998.0,12834.6024
Austria,Europe,1972,70.63,7544201.0,16661.6256
Austria,Europe,1977,72.17,7568430.0,19749.4223
Austria,Europe,1982,73.18,7574613.0,21597.083619999998
Austria,Europe,1987,74.94,7578903.0,23687.82607
Austria,Europe,1992,76.04,7914969.0,27042.01868
Austria,Europe,1997,77.51,8069876.0,29095.920660000003
Austria,Europe,2002,78.98,8148312.0,32417.607689999997
Austria,Europe,2007,79.829,8199783.0,36126.4927
Bahrain,Asia,1952,50.93899999999999,120447.0,9867.084765000001
Bahrain,Asia,1957,53.832,138655.0,11635.79945
Bahrain,Asia,1962,56.923,171863.0,12753.27514
Bahrain,Asia,1967,59.923,202182.0,14804.6727
Bahrain,Asia,1972,63.3,230800.0,18268.65839
Bahrain,Asia,1977,65.593,297410.0,19340.10196
Bahrain,Asia,1982,69.05199999999999,377967.0,19211.14731
Bahrain,Asia,1987,70.75,454612.0,18524.02406
Bahrain,Asia,1992,72.601,529491.0,19035.579169999997
Bahrain,Asia,1997,73.925,598561.0,20292.01679
Bahrain,Asia,2002,74.795,656397.0,23403.559269999998
Bahrain,Asia,2007,75.635,708573.0,29796.048339999998
Bangladesh,Asia,1952,37.484,46886859.0,684.2441716
Bangladesh,Asia,1957,39.348,51365468.0,661.6374577
Bangladesh,Asia,1962,41.216,56839289.0,686.3415537999999
Bangladesh,Asia,1967,43.453,62821884.0,721.1860862000001
Bangladesh,Asia,1972,45.251999999999995,70759295.0,630.2336265
Bangladesh,Asia,1977,46.923,80428306.0,659.8772322000001
Bangladesh,Asia,1982,50.00899999999999,93074406.0,676.9818656
Bangladesh,Asia,1987,52.818999999999996,103764241.0,751.9794035
Bangladesh,Asia,1992,56.018,113704579.0,837.8101642999999
Bangladesh,Asia,1997,59.412,123315288.0,972.7700352
Bangladesh,Asia,2002,62.013000000000005,135656790.0,1136.3904300000002
Bangladesh,Asia,2007,64.062,150448339.0,1391.253792
Belgium,Europe,1952,68.0,8730405.0,8343.105126999999
Belgium,Europe,1957,69.24,8989111.0,9714.960623
Belgium,Europe,1962,70.25,9218400.0,10991.20676
Belgium,Europe,1967,70.94,9556500.0,13149.04119
Belgium,Europe,1972,71.44,9709100.0,16672.14356
Belgium,Europe,1977,72.8,9821800.0,19117.97448
Belgium,Europe,1982,73.93,9856303.0,20979.84589
Belgium,Europe,1987,75.35,9870200.0,22525.56308
Belgium,Europe,1992,76.46,10045622.0,25575.57069
Belgium,Europe,1997,77.53,10199787.0,27561.196630000002
Belgium,Europe,2002,78.32,10311970.0,30485.88375
Belgium,Europe,2007,79.441,10392226.0,33692.60508
Benin,Africa,1952,38.223,1738315.0,1062.7522
Benin,Africa,1957,40.358000000000004,1925173.0,959.6010805
Benin,Africa,1962,42.618,2151895.0,949.4990641
Benin,Africa,1967,44.885,2427334.0,1035.831411
Benin,Africa,1972,47.013999999999996,2761407.0,1085.796879
Benin,Africa,1977,49.19,3168267.0,1029.161251
Benin,Africa,1982,50.903999999999996,3641603.0,1277.897616
Benin,Africa,1987,52.336999999999996,4243788.0,1225.85601
Benin,Africa,1992,53.919,4981671.0,1191.207681
Benin,Africa,1997,54.777,6066080.0,1232.975292
Benin,Africa,2002,54.406000000000006,7026113.0,1372.877931
Benin,Africa,2007,56.728,8078314.0,1441.284873
Bolivia,Americas,1952,40.414,2883315.0,2677.3263469999997
Bolivia,Americas,1957,41.89,3211738.0,2127.686326
Bolivia,Americas,1962,43.428000000000004,3593918.0,2180.972546
Bolivia,Americas,1967,45.032,4040665.0,2586.886053
Bolivia,Americas,1972,46.714,4565872.0,2980.331339
Bolivia,Americas,1977,50.023,5079716.0,3548.097832
Bolivia,Americas,1982,53.858999999999995,5642224.0,3156.510452
Bolivia,Americas,1987,57.251000000000005,6156369.0,2753.6914899999997
Bolivia,Americas,1992,59.957,6893451.0,2961.699694
Bolivia,Americas,1997,62.05,7693188.0,3326.143191
Bolivia,Americas,2002,63.883,8445134.0,3413.26269
Bolivia,Americas,2007,65.554,9119152.0,3822.1370840000004
Bosnia and Herzegovina,Europe,1952,53.82,2791000.0,973.5331947999999
Bosnia and Herzegovina,Europe,1957,58.45,3076000.0,1353.989176
Bosnia and Herzegovina,Europe,1962,61.93,3349000.0,1709.683679
Bosnia and Herzegovina,Europe,1967,64.79,3585000.0,2172.3524230000003
Bosnia and Herzegovina,Europe,1972,67.45,3819000.0,2860.16975
Bosnia and Herzegovina,Europe,1977,69.86,4086000.0,3528.481305
Bosnia and Herzegovina,Europe,1982,70.69,4172693.0,4126.613157
Bosnia and Herzegovina,Europe,1987,71.14,4338977.0,4314.114757
Bosnia and Herzegovina,Europe,1992,72.178,4256013.0,2546.781445
Bosnia and Herzegovina,Europe,1997,73.244,3607000.0,4766.355904
Bosnia and Herzegovina,Europe,2002,74.09,4165416.0,6018.975239
Bosnia and Herzegovina,Europe,2007,74.852,4552198.0,7446.298803
Botswana,Africa,1952,47.622,442308.0,851.2411407
Botswana,Africa,1957,49.618,474639.0,918.2325348999999
Botswana,Africa,1962,51.52,512764.0,983.6539764
Botswana,Africa,1967,53.298,553541.0,1214.709294
Botswana,Africa,1972,56.023999999999994,619351.0,2263.6111140000003
Botswana,Africa,1977,59.318999999999996,781472.0,3214.857818
Botswana,Africa,1982,61.483999999999995,970347.0,4551.14215
Botswana,Africa,1987,63.622,1151184.0,6205.88385
Botswana,Africa,1992,62.745,1342614.0,7954.111645
Botswana,Africa,1997,52.556000000000004,1536536.0,8647.142313
Botswana,Africa,2002,46.63399999999999,1630347.0,11003.60508
Botswana,Africa,2007,50.728,1639131.0,12569.851770000001
Brazil,Americas,1952,50.917,56602560.0,2108.944355
Brazil,Americas,1957,53.285,65551171.0,2487.365989
Brazil,Americas,1962,55.665,76039390.0,3336.585802
Brazil,Americas,1967,57.632,88049823.0,3429.864357
Brazil,Americas,1972,59.504,100840058.0,4985.711467
Brazil,Americas,1977,61.489,114313951.0,6660.118654
Brazil,Americas,1982,63.336000000000006,128962939.0,7030.835878
Brazil,Americas,1987,65.205,142938076.0,7807.095818000001
Brazil,Americas,1992,67.057,155975974.0,6950.283020999999
Brazil,Americas,1997,69.388,168546719.0,7957.980823999999
Brazil,Americas,2002,71.006,179914212.0,8131.212843000001
Brazil,Americas,2007,72.39,190010647.0,9065.800825
Bulgaria,Europe,1952,59.6,7274900.0,2444.2866480000002
Bulgaria,Europe,1957,66.61,7651254.0,3008.670727
Bulgaria,Europe,1962,69.51,8012946.0,4254.337839
Bulgaria,Europe,1967,70.42,8310226.0,5577.0028
Bulgaria,Europe,1972,70.9,8576200.0,6597.494398
Bulgaria,Europe,1977,70.81,8797022.0,7612.240438
Bulgaria,Europe,1982,71.08,8892098.0,8224.191647
Bulgaria,Europe,1987,71.34,8971958.0,8239.854824
Bulgaria,Europe,1992,71.19,8658506.0,6302.6234380000005
Bulgaria,Europe,1997,70.32,8066057.0,5970.38876
Bulgaria,Europe,2002,72.14,7661799.0,7696.777725
Bulgaria,Europe,2007,73.005,7322858.0,10680.79282
Burkina Faso,Africa,1952,31.975,4469979.0,543.2552413
Burkina Faso,Africa,1957,34.906,4713416.0,617.1834647999999
Burkina Faso,Africa,1962,37.814,4919632.0,722.5120206
Burkina Faso,Africa,1967,40.696999999999996,5127935.0,794.8265597
Burkina Faso,Africa,1972,43.591,5433886.0,854.7359763000001
Burkina Faso,Africa,1977,46.137,5889574.0,743.3870368
Burkina Faso,Africa,1982,48.122,6634596.0,807.1985855
Burkina Faso,Africa,1987,49.556999999999995,7586551.0,912.0631417000001
Burkina Faso,Africa,1992,50.26,8878303.0,931.7527731
Burkina Faso,Africa,1997,50.324,10352843.0,946.2949617999999
Burkina Faso,Africa,2002,50.65,12251209.0,1037.645221
Burkina Faso,Africa,2007,52.295,14326203.0,1217.032994
Burundi,Africa,1952,39.031,2445618.0,339.29645869999996
Burundi,Africa,1957,40.533,2667518.0,379.56462810000005
Burundi,Africa,1962,42.045,2961915.0,355.2032273
Burundi,Africa,1967,43.548,3330989.0,412.97751360000007
Burundi,Africa,1972,44.056999999999995,3529983.0,464.0995039
Burundi,Africa,1977,45.91,3834415.0,556.1032651
Burundi,Africa,1982,47.471000000000004,4580410.0,559.6032309999999
Burundi,Africa,1987,48.211000000000006,5126023.0,621.8188188999999
Burundi,Africa,1992,44.736000000000004,5809236.0,631.6998778
Burundi,Africa,1997,45.326,6121610.0,463.1151478
Burundi,Africa,2002,47.36,7021078.0,446.4035126
Burundi,Africa,2007,49.58,8390505.0,430.07069160000003
Cambodia,Asia,1952,39.417,4693836.0,368.46928560000003
Cambodia,Asia,1957,41.36600000000001,5322536.0,434.0383364
Cambodia,Asia,1962,43.415,6083619.0,496.9136476
Cambodia,Asia,1967,45.415,6960067.0,523.4323142
Cambodia,Asia,1972,40.317,7450606.0,421.6240257
Cambodia,Asia,1977,31.22,6978607.0,524.9721831999999
Cambodia,Asia,1982,50.957,7272485.0,624.4754784
Cambodia,Asia,1987,53.913999999999994,8371791.0,683.8955732000001
Cambodia,Asia,1992,55.803000000000004,10150094.0,682.3031755
Cambodia,Asia,1997,56.534,11782962.0,734.28517
Cambodia,Asia,2002,56.751999999999995,12926707.0,896.2260152999999
Cambodia,Asia,2007,59.723,14131858.0,1713.7786859999999
Cameroon,Africa,1952,38.523,5009067.0,1172.667655
Cameroon,Africa,1957,40.428000000000004,5359923.0,1313.048099
Cameroon,Africa,1962,42.643,5793633.0,1399.607441
Cameroon,Africa,1967,44.799,6335506.0,1508.453148
Cameroon,Africa,1972,47.049,7021028.0,1684.1465280000002
Cameroon,Africa,1977,49.355,7959865.0,1783.432873
Cameroon,Africa,1982,52.961000000000006,9250831.0,2367.983282
Cameroon,Africa,1987,54.985,10780667.0,2602.664206
Cameroon,Africa,1992,54.31399999999999,12467171.0,1793.1632780000002
Cameroon,Africa,1997,52.199,14195809.0,1694.337469
Cameroon,Africa,2002,49.856,15929988.0,1934.0114489999999
Cameroon,Africa,2007,50.43,17696293.0,2042.0952399999999
Canada,Americas,1952,68.75,14785584.0,11367.16112
Canada,Americas,1957,69.96,17010154.0,12489.95006
Canada,Americas,1962,71.3,18985849.0,13462.48555
Canada,Americas,1967,72.13,20819767.0,16076.58803
Canada,Americas,1972,72.88,22284500.0,18970.57086
Canada,Americas,1977,74.21,23796400.0,22090.88306
Canada,Americas,1982,75.76,25201900.0,22898.79214
Canada,Americas,1987,76.86,26549700.0,26626.515030000002
Canada,Americas,1992,77.95,28523502.0,26342.88426
Canada,Americas,1997,78.61,30305843.0,28954.92589
Canada,Americas,2002,79.77,31902268.0,33328.96507
Canada,Americas,2007,80.653,33390141.0,36319.235010000004
Central African Republic,Africa,1952,35.463,1291695.0,1071.310713
Central African Republic,Africa,1957,37.464,1392284.0,1190.844328
Central African Republic,Africa,1962,39.475,1523478.0,1193.068753
Central African Republic,Africa,1967,41.478,1733638.0,1136.056615
Central African Republic,Africa,1972,43.457,1927260.0,1070.013275
Central African Republic,Africa,1977,46.775,2167533.0,1109.374338
Central African Republic,Africa,1982,48.295,2476971.0,956.7529906999999
Central African Republic,Africa,1987,50.485,2840009.0,844.8763504000001
Central African Republic,Africa,1992,49.396,3265124.0,747.9055252
Central African Republic,Africa,1997,46.066,3696513.0,740.5063317
Central African Republic,Africa,2002,43.308,4048013.0,738.6906068
Central African Republic,Africa,2007,44.74100000000001,4369038.0,706.016537
Chad,Africa,1952,38.092,2682462.0,1178.665927
Chad,Africa,1957,39.881,2894855.0,1308.495577
Chad,Africa,1962,41.716,3150417.0,1389.817618
Chad,Africa,1967,43.601000000000006,3495967.0,1196.810565
Chad,Africa,1972,45.568999999999996,3899068.0,1104.103987
Chad,Africa,1977,47.383,4388260.0,1133.98495
Chad,Africa,1982,49.516999999999996,4875118.0,797.9081006
Chad,Africa,1987,51.051,5498955.0,952.3861289999999
Chad,Africa,1992,51.724,6429417.0,1058.0643
Chad,Africa,1997,51.573,7562011.0,1004.9613529999999
Chad,Africa,2002,50.525,8835739.0,1156.18186
Chad,Africa,2007,50.651,10238807.0,1704.0637239999999
Chile,Americas,1952,54.745,6377619.0,3939.9787890000002
Chile,Americas,1957,56.074,7048426.0,4315.6227229999995
Chile,Americas,1962,57.924,7961258.0,4519.094331
Chile,Americas,1967,60.523,8858908.0,5106.654313
Chile,Americas,1972,63.441,9717524.0,5494.024437
Chile,Americas,1977,67.05199999999999,10599793.0,4756.763836
Chile,Americas,1982,70.565,11487112.0,5095.665738000001
Chile,Americas,1987,72.492,12463354.0,5547.063754
Chile,Americas,1992,74.126,13572994.0,7596.125964
Chile,Americas,1997,75.816,14599929.0,10118.053179999999
Chile,Americas,2002,77.86,15497046.0,10778.78385
Chile,Americas,2007,78.553,16284741.0,13171.63885
China,Asia,1952,44.0,556263527.9999889,400.448610699994
China,Asia,1957,50.54896,637408000.0,575.9870009
China,Asia,1962,44.50136,665770000.0,487.6740183
China,Asia,1967,58.381119999999996,754550000.0,612.7056934
China,Asia,1972,63.118880000000004,862030000.0,676.9000921
China,Asia,1977,63.96736,943455000.0,741.2374699
China,Asia,1982,65.525,1000281000.0,962.4213804999999
China,Asia,1987,67.274,1084035000.0,1378.904018
China,Asia,1992,68.69,1164970000.0,1655.784158
China,Asia,1997,70.426,1230075000.0,2289.234136
China,Asia,2002,72.028,1280400000.0,3119.280896
China,Asia,2007,72.961,1318683096.0,4959.1148539999995
Colombia,Americas,1952,50.643,12350771.0,2144.115096
Colombia,Americas,1957,55.118,14485993.0,2323.805581
